step	city_sequence	city_x	city_y	fitness
0	1	4.20933e-08	0.904783	4.67743
1	31	0.0392506	0.874098	
2	12	0.0890063	0.801816	
3	16	0.147666	0.72	
4	34	0.297946	0.716771	
5	27	0.472853	0.755516	
6	18	0.313369	0.554152	
7	6	0.418514	0.466307	
8	13	0.602964	0.367408	
9	20	0.646914	0.375033	
10	5	0.648883	0.45075	
11	23	0.633492	0.508148	
12	19	0.664453	0.657467	
13	3	0.689065	0.705411	
14	2	0.717875	0.727984	
15	33	0.789324	0.905009	
16	7	0.939946	0.831047	
17	4	0.987247	0.813867	
18	21	0.969841	0.443832	
19	15	0.968775	0.31867	
20	9	0.989186	0.19704	
21	26	0.800855	0.422053	
22	22	0.791023	0.439144	
23	14	0.731205	0.26554	
24	11	0.76758	0.144058	
25	29	0.654188	0.145295	
26	28	0.597791	0.0609412	
27	8	0.489183	0.0772697	
28	10	0.19994	0.197323	
29	17	0.114942	0.243285	
30	30	0.0776582	0.569876	
31	24	0.0280513	0.599751	
32	25	0.0131978	0.623714	
33	32	0.0155895	0.84033	
34	1	4.20933e-08	0.904783	
